city_name,state_abbr,tracts,fdi_mean,fdi_max,fdi_high_tracts,poverty_mean,income_median,pct_black_mean,total_pop
Albany,GA,29,42.86,63.21,4,31.13,39627.0,71.4,83915
Selma,AL,17,42.13,55.16,0,27.85,39583.0,70.74,37536
Pine Bluff,AR,24,39.09,55.41,0,22.82,45492.0,63.52,65780
Jackson,MS,67,39.0,57.13,0,24.2,44016.0,75.17,222494
Macon,GA,48,37.66,68.9,3,28.4,47889.0,56.19,156543
Shreveport,LA,74,36.09,62.3,2,24.97,47736.5,51.74,232973
Augusta,GA,56,35.06,58.27,0,22.51,52347.0,54.92,206040
Baltimore,MD,199,34.72,57.68,0,21.64,57073.0,60.77,577193
New Orleans,LA,184,34.67,60.03,1,23.31,57639.5,52.39,376035
St. Louis,MO,104,34.54,62.35,2,22.04,49343.5,50.38,293109
Columbus,GA,59,33.98,81.1,1,24.0,49904.0,49.41,204383
Montgomery,AL,71,33.85,59.15,0,21.07,53068.0,59.38,227197
Memphis,TN,249,32.61,67.72,4,20.36,55507.0,55.9,922195
Columbia,SC,98,31.33,58.94,0,21.53,64628.0,47.67,418725
Detroit,MI,627,31.09,62.87,3,21.67,57692.0,42.07,1773767
Baton Rouge,LA,108,30.94,58.58,0,20.38,60888.0,46.09,452821
Birmingham,AL,189,30.63,61.8,2,18.72,59746.0,47.02,669744
Tuscaloosa,AL,59,30.0,54.27,0,20.78,61081.0,35.46,234036
Philadelphia,PA,408,29.18,53.74,0,21.2,63142.5,38.62,1582432
Fayetteville,NC,81,28.92,51.96,0,18.75,59149.0,37.48,336749
East St. Louis,IL,68,28.83,58.55,0,17.15,68897.0,38.29,254777
Richmond,VA,75,28.7,57.52,0,19.05,62543.0,41.04,227595
Gary,IN,132,28.53,65.09,3,18.87,62050.5,32.64,498990
Cleveland,OH,428,28.27,60.92,1,18.77,61798.0,35.02,1249418
Milwaukee,WI,302,27.77,64.93,1,19.83,59153.5,30.28,927656
Norfolk,VA,81,27.68,57.64,0,17.45,69310.0,38.68,235037
Flint,MI,134,27.26,68.51,1,19.67,58477.5,24.71,404087
Savannah,GA,88,27.01,57.68,0,15.71,64291.5,38.23,298143
Toledo,OH,169,26.89,58.27,0,20.49,57656.0,23.88,428748
Greensboro,NC,126,26.22,51.7,0,16.46,64764.5,33.76,542987
Newark,NJ,211,26.09,55.1,0,16.96,66336.0,41.63,854130
Indianapolis,IN,253,25.77,54.15,0,16.26,59493.0,27.55,971822
Winston-Salem,NC,95,25.65,54.32,0,16.61,67232.0,26.5,386740
Dayton,OH,156,25.44,53.26,0,16.89,62577.0,24.33,535528
Kansas City,MO,227,24.73,58.27,0,15.79,64904.0,25.11,717021
Cincinnati,OH,226,24.72,61.02,1,17.13,70480.0,26.57,827878
Rockford,IL,80,24.5,59.93,0,18.68,61821.5,15.47,283289
Youngstown,OH,54,24.36,50.46,0,17.74,52711.5,8.01,201367
Durham,NC,68,23.67,41.81,0,13.57,78825.0,31.68,329405
Chicago,IL,1332,23.55,66.14,2,14.87,77332.0,27.06,5185812
Charleston,SC,99,23.43,48.77,0,13.07,82159.0,24.98,414711
Buffalo,NY,261,22.9,57.13,0,16.01,71250.0,15.51,950044
Miami,FL,707,22.35,58.45,0,15.1,71047.0,14.41,2685296
Pittsburgh,PA,394,22.03,55.82,0,13.82,71250.0,15.18,1240476
Greenville,SC,123,22.0,42.56,0,13.1,70598.0,18.06,537575
Fresno,CA,225,21.78,42.12,0,19.13,66940.0,4.36,1012152
Wilmington,DE,145,20.8,49.62,0,11.58,85391.0,25.9,573030
Chester,PA,152,20.25,50.16,0,11.06,88802.5,24.55,576195
Camden,NJ,129,20.17,47.98,0,12.63,91020.0,18.67,524042
Trenton,NJ,84,20.04,49.26,0,12.3,93517.0,22.82,383286
Stockton,CA,174,19.01,41.97,0,13.77,82801.0,7.1,787416
Compton,CA,2498,18.88,70.59,1,14.06,86216.0,7.85,9848406
Oakland,CA,379,14.92,46.56,0,9.91,123107.0,10.68,1651949
